source,target,peso
establecer,mundo,8
estaciones,san,8
estaciones,transporte,8
exige,modernizar,8
extender,mejorar,8
familias,inversión,8
familias,pesos,8
familias,servicio,8
fibra,unirá,8
fibra,vamos,8
fortalecer,innovación,8
fortalecer,ley,8
fortalecer,mundo,8
fortalecer,sociedad,8
fortalecer,tecnología,8
fuerza,mejorar,8
fundamental,mundo,8
fundamental,nuevo,8
futuro,modernizar,8
futuro,mundo,8
futuro,vamos,8
gasto,innovación,8
gasto,vida,8
hacia,innovación,8
hacia,ley,8
hacia,red,8
hijos,vamos,8
impuesto,innovación,8
impulsar,innovación,8
impulsar,mejorar,8
impulsar,sociedad,8
información,internet,8
información,nuevas,8
información,tecnología,8
infraestructura,inversiones,8
infraestructura,potable,8
iniciativas,mejorar,8
innovación,largo,8
innovación,plazo,8
innovación,política,8
innovación,segundo,8
innovación,servicios,8
innovación,tarea,8
instituto,vamos,8
inteligencia,personas,8
inteligencia,productividad,8
inteligencia,puede,8
inteligencia,trabajo,8
internet,internet,8
internet,nuevas,8
internet,puedan,8
internet,tres,8
inversiones,regionales,8
inversión,recursos,8
largo,plazo,8
ley,modernización,8
ley,permita,8
ley,promover,8
ley,puerto,8
ley,regiones,8
ley,servicios,8
ley,sino,8
ley,sociedad,8
ley,solamente,8
ley,través,8
líneas,metro,8
marcha,programa,8
materia,servicio,8
materia,sociedad,8
medidas,vamos,8
mejorar,permita,8
mejorar,profesores,8
mejorar,respeto,8
mejorar,servicios,8
mejorar,siglo,8
mejorar,sino,8
mejorar,solamente,8
mejorar,tecnología,8
mejorar,tiempos,8
mejores,nuevas,8
meta,vamos,8
metro,nuevas,8
metro,obras,8
ministerio,tecnología,8
modernizar,permitirá,8
modernizar,plataforma,8
modernizar,pone,8
modernizar,puerto,8
modernizar,público,8
modernizar,regiones,8
montt,mundo,8
muchas,vida,8
mundo,realizar,8
mundo,red,8
mundo,reforma,8
mundo,sociedad,8
mundo,solamente,8
mundo,trabajo,8
naturales,vamos,8
naturaleza,través,8
necesidades,vamos,8
nueva,proyecto,8
nueva,sistema,8
nuevas,oportunidades,8
nuevas,servicios,8
nuevas,transporte,8
nuevas,través,8
nuevas,vamos,8
nuevo,servicio,8
nuevo,sino,8
nuevo,solamente,8
nuevos,tecnología,8
países,revolución,8
países,sociedad,8
permita,vamos,8
personas,programa,8
planes,vamos,8
políticas,reforma,8
productores,región,8
profesores,tecnología,8
programa,red,8
programa,servicios,8
promover,solamente,8
promover,trabajo,8
proteger,vamos,8
proyecto,regiones,8
proyectos,regiones,8
puedan,sistema,8
puerto,siglo,8
puerto,transparencia,8
puerto,vamos,8
público,tecnología,8
públicos,recursos,8
realizar,reforma,8
red,sistema,8
red,tecnología,8
red,vida,8
regiones,regiones,8
regiones,servicio,8
regiones,siglo,8
semana,vamos,8
servicio,través,8
servicios,trámites,8
siglo,sistema,8
sino,través,8
sistema,tecnología,8
sistema,tiempos,8
solamente,través,8
tecnología,tecnología,8
tecnología,vamos,8
tecnologías,trabajo,8
total,vamos,8
trabajo,vida,8
transparencia,vamos,8
través,uso,8
trámites,través,8
uso,vamos,8
vida,vida,8
óptica,unirá,8
óptica,vamos,8
acceso,compromiso,7
acceso,comunas,7
acceso,escuelas,7
acceso,establecer,7
acceso,familias,7
acceso,financiamiento,7
acceso,inversión,7
acceso,nuevo,7
acceso,plan,7
acceso,sino,7
acceso,solamente,7
acceso,tecnología,7
acceso,tecnologías,7
actual,civil,7
actual,mundo,7
actual,nuevo,7
además,construcción,7
además,establecer,7
además,estrategia,7
además,fortalecer,7
además,incluye,7
además,pasado,7
además,pública,7
además,públicos,7
además,santiago,7
además,servicio,7
además,sur,7
agenda,ciudadanos,7
agenda,crecimiento,7
agenda,proyecto,7
agenda,siglo,7
agenda,transparencia,7
agua,estrategia,7
agua,rural,7
aguas,estrategia,7
aguas,sistemas,7
ahora,innovación,7
allá,innovación,7
alto,vamos,7
ampliar,mundo,7
ampliar,regiones,7
ampliar,vida,7
ancha,internet,7
aquellos,calidad,7
aquí,educación,7
araucanía,vamos,7
arauco,plan,7
arica,digital,7
asia,digital,7
atención,laboratorio,7
austral,fibra,7
austral,montt,7
austral,óptica,7
avance,sistema,7
avance,vamos,7
avanzados,países,7
avanzando,materia,7
avanzar,derechos,7
avanzar,protección,7
avanzar,respecto,7
avanzar,sociedad,7
aysén,puerto,7
banda,internet,7
bienes,sociedad,7
buses,transporte,7
cable,sur,7
cada,cada,7
cada,civil,7
cada,ello,7
cada,hace,7
calidad,capacidad,7
calidad,ciudades,7
calidad,enfrentar,7
calidad,fortalecer,7
calidad,iniciativas,7
calidad,política,7
calidad,programa,7
calidad,regiones,7
calidad,relación,7
calidad,respecto,7
calidad,seguir,7
calidad,sino,7
calidad,sociedad,7
calidad,solamente,7
calidad,trabajo,7
cambio,mundo,7
cambio,sociedad,7
campo,deporte,7
campo,especial,7
campo,sociedad,7
capacidad,construcción,7
capacidad,ello,7
capacidad,inversión,7
capacidad,libertad,7
carretera,regiones,7
celulares,vamos,7
cerca,sistema,7
ciencia,ciencia,7
ciencia,fortalecer,7
ciencia,mundo,7
ciencia,países,7
ciencia,recursos,7
ciencia,universidades,7
ciudadanos,ello,7
ciudadanos,enfrentar,7
ciudadanos,necesidades,7
ciudadanos,plataforma,7
ciudadanos,público,7
ciudadanos,sociedad,7
civil,nueva,7
civil,proteger,7
cobertura,vamos,7
cobre,minería,7
cobre,tecnología,7
codelco,minería,7
codelco,tecnología,7
comercio,mejorar,7
comodidad,vamos,7
competencia,vamos,7
competitivo,vamos,7
compromiso,promover,7
compromiso,regionales,7
compromiso,través,7
computador,digital,7
computadores,niños,7
computadores,tres,7
comunas,conectividad,7
comunas,internet,7
comunidad,sistema,7
conectados,internet,7
conectividad,infraestructura,7
conectividad,plan,7
conexión,internet,7
congreso,nueva,7
congreso,nuevo,7
congreso,permitirá,7
congreso,probidad,7
conocimiento,revolución,7
consejo,proyecto,7
constituye,nuevo,7
constituye,través,7
construcción,línea,7
consumidores,trabajadores,7
continente,puerto,7
cosas,revolución,7
costo,nuevas,7
creación,ley,7
creamos,innovación,7
creando,digital,7
creando,nuevo,7
crear,trabajo,7
crear,vamos,7
crearemos,emprendimiento,7
creatividad,innovación,7
crecimiento,inversión,7
cultura,educación,7
cultura,fortalecer,7
cultura,oportunidad,7
cultura,queremos,7
cultura,servicios,7
datos,ley,7
datos,proyecto,7
defensa,vida,7
demostrado,países,7
dentro,digital,7
dentro,vida,7
derechos,ley,7
derechos,social,7
desafíos,educación,7
desarrollando,vamos,7
desarrollo,grandes,7
desarrollo,infraestructura,7
desarrollo,litio,7
desarrollo,oportunidades,7
desarrollo,pasado,7
desarrollo,planes,7
desarrollo,potenciar,7
desarrollo,programa,7
desarrollo,proyectos,7
desarrollo,red,7
desarrollo,regiones,7
desarrollo,región,7
desarrollo,sector,7
desarrollo,tal,7
digital,electrónico,7
digital,gratuita,7
digital,impulsar,7
digital,impulso,7
digital,instituciones,7
digital,pandemia,7
digital,san,7
digital,significa,7
digital,sistema,7
digital,sólo,7
